transactionID,step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,nameOrigJurisdiction,nameDestJurisdiction,isFraud
46,6,TRANSFER,26768.5,C457596841,26768.5,0,C1956477953,0,0,UK mainland,Panama,1
47,6,CASH_OUT,26768.5,C682812632,26768.5,0,C256417920,101976,128744.5,UK mainland,Panama,1
48,6,CASH_OUT,85354.69,C158801009,85354.69,0,C382431057,11170,10612.55,UK mainland,Panama,1
49,6,TRANSFER,25975.86,C864622150,25975.86,0,C41792607,0,0,UK mainland,Panama,1
50,6,CASH_OUT,17320.91,C436661284,17320.91,0,C522173599,6244.44,0,UK mainland,Anguilla,1
51,6,TRANSFER,85354.69,C558400671,85354.69,0,C527482085,0,0,UK mainland,Anguilla,1
52,6,CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48630.5,UK mainland,T&T,1
53,6,TRANSFER,30521.02,C903383636,30521.02,0,C904300960,0,0,UK mainland,T&T,1
54,6,TRANSFER,10224,C365589282,10224,0,C908043384,0,0,UK mainland,T&T,1
55,6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,UK mainland,Fiji,1
56,7,TRANSFER,378197.48,C1911215792,0,0,C1003872245,763948.01,114686.09,UK mainland,UK mainland,0
57,7,TRANSFER,603999.01,C85304558,1381,0,C1003872245,159949,114686.09,UK mainland,UK mainland,0
58,7,CASH_IN,133475.69,C536794778,2441438.46,2574914.15,C1007392323,625039,1190304.59,UK mainland,UK mainland,0
59,7,CASH_IN,77050.37,C899666082,2127438.71,2204489.08,C1007717381,104624,27573.63,UK mainland,UK mainland,0
60,7,CASH_IN,175241.54,C364941709,7905855.53,8081097.07,C1007876221,203414,28172.46,UK mainland,Fiji,0
61,7,TRANSFER,224214.26,C1854210091,107440,0,C1009195400,0,96262.11,UK mainland,USA,0
62,7,CASH_IN,94742.35,C1781082115,2252253.25,2346995.6,C1009972184,225697.16,361559.69,UK mainland,USA,0
63,7,CASH_IN,111717.8,C773076120,4793180.92,4904898.72,C1009972184,130954.8,361559.69,UK mainland,USA,0
64,7,CASH_OUT,21729,C693427358,21729,0,C1101441872,27335,0,UK mainland,BVI,1
65,7,CASH_OUT,5460002.91,C1588880909,5460002.91,0,C1570256460,0,9281535.44,UK mainland,BVI,1
66,7,TRANSFER,21571,C786114805,21571,0,C1666314150,0,0,UK mainland,BVI,1
67,7,TRANSFER,5460002.91,C666654362,5460002.91,0,C1726301214,0,0,UK mainland,BVI,1
68,7,CASH_OUT,441445.58,C398085606,441445.58,0,C2072030256,98993.5,0,UK mainland,Panama,1
69,7,CASH_OUT,21571,C452475723,21571,0,C2089016471,30797.41,71140.3,UK mainland,Panama,1
70,7,TRANSFER,164,C1455969984,164,0,C2119910556,0,0,UK mainland,Panama,1
71,7,CASH_OUT,262434.54,C383717053,262434.54,0,C380242442,19525.79,438233.86,UK mainland,Panama,1
72,7,TRANSFER,262434.54,C2101686389,262434.54,0,C612008977,0,0,UK mainland,T&T,1
73,7,TRANSFER,21729,C1686905633,21729,0,C824421402,0,0,UK mainland,T&T,1
74,8,CASH_IN,184948.25,C1748825288,6883241.32,7068189.57,C1000630508,300371.42,115423.17,UK mainland,EU,0
75,8,TRANSFER,300371.42,C647273858,8082,0,C1000630508,0,115423.17,UK mainland,EU,0
76,8,CASH_IN,297558.89,C1563443642,248852.14,546411.04,C1001367899,367432.65,129782.95,UK mainland,EU,0
77,8,CASH_OUT,6582.25,C1630908476,0,0,C1001367899,69873.76,129782.95,UK mainland,EU,0
78,8,CASH_IN,56607.67,C1921097982,1697161.76,1753769.43,C1001367899,570182.67,129782.95,UK mainland,EU,0
79,8,CASH_OUT,111739.82,C558096369,0,0,C1001367899,513575,129782.95,UK mainland,EU,0
80,8,CASH_OUT,483924.55,C559441839,139709,0,C1001367899,106526,129782.95,UK mainland,EU,0
81,8,CASH_IN,135355.81,C242914926,3694466.8,3829822.61,C1001409363,171358.92,12002.74,UK mainland,EU,0
82,8,CASH_OUT,38955.28,C1816013885,0,0,C1001755781,235452.18,274407.46,UK mainland,EU,0
83,8,CASH_OUT,235452.18,C481255164,61291,0,C1001755781,0,274407.46,UK mainland,EU,0
84,8,CASH_IN,123010.22,C361942456,14849,137859.22,C1002031672,47366.32,0,UK mainland,EU,0
85,8,CASH_OUT,260037.68,C583730267,72847,0,C1002407179,0,260037.68,UK mainland,EU,0
86,8,CASH_OUT,41760.45,C1416398965,26862,0,C1003872245,394929.23,114686.09,UK mainland,UK mainland,0
87,8,CASH_IN,222499.61,C1479378539,7979055.71,8201555.32,C1003872245,788364.07,114686.09,UK mainland,UK mainland,0
88,8,CASH_IN,109950.3,C217697661,4613698.16,4723648.46,C1003872245,982588.16,114686.09,UK mainland,UK mainland,0
89,8,CASH_OUT,114931.13,C531511215,45487,0,C1003872245,114686.09,229617.22,UK mainland,UK mainland,0
90,8,CASH_OUT,351674.39,C553833327,491377.87,139703.48,C1003872245,436689.68,114686.09,UK mainland,UK mainland,0
91,8,CASH_IN,42523.61,C957101267,12983.88,55507.49,C1004044328,20680,0,UK mainland,UK mainland,0
92,8,CASH_IN,71353.15,C480820733,8024,79377.15,C1004330633,132590,61236.85,UK mainland,UK mainland,0
93,8,TRANSFER,668712.33,C1668276128,132065.29,0,C1004780164,1057636.74,1679662.6,UK mainland,UK mainland,0
94,8,TRANSFER,1057636.74,C486496345,11381,0,C1004780164,0,1679662.6,UK mainland,UK mainland,0
95,8,CASH_IN,76183.3,C608091070,1324576.98,1400760.28,C1004780164,1755845.89,1679662.6,UK mainland,UK mainland,0
96,8,CASH_OUT,672813.55,C1847025890,14538,0,C1005736508,512,312416.6,UK mainland,UK mainland,0
97,8,CASH_OUT,250488.85,C1674771221,24503,0,C1005747091,2211,135185.1,UK mainland,UK mainland,0
98,8,CASH_OUT,267174.25,C2100760698,0,0,C1005941472,465601.17,230586.45,UK mainland,UK mainland,0
99,8,CASH_IN,84680.33,C232096325,5385918.11,5470598.45,C1005941472,550281.5,230586.45,UK mainland,UK mainland,0
100,8,CASH_OUT,287380.47,C567516111,31080,0,C1005941472,0,550281.5,UK mainland,UK mainland,0
101,8,CASH_OUT,262901.03,C76095502,0,0,C1005941472,287380.47,550281.5,UK mainland,UK mainland,0
102,8,CASH_IN,224914.35,C941170805,1396177.52,1621091.86,C1006094903,0,0,UK mainland,UK mainland,0
103,8,CASH_IN,189931.54,C971613051,33169,223100.54,C1006094903,0,0,UK mainland,UK mainland,0
104,8,CASH_IN,157054.93,C472803864,12645353.2,12802408.14,C1007135217,248899,0,UK mainland,UK mainland,0
105,8,CASH_IN,119112.95,C537886628,0,119112.95,C1007135217,91844.07,0,UK mainland,UK mainland,0
106,8,CASH_OUT,160875.22,C1482054036,52764,0,C1007392323,672964.93,1190304.59,UK mainland,UK mainland,0
107,8,CASH_OUT,356464.45,C219969505,238508,0,C1007392323,833840.14,1190304.59,UK mainland,UK mainland,0
108,8,CASH_IN,105659.04,C1588567397,3631660.67,3737319.71,C1007483565,207047.39,101388.35,UK mainland,UK mainland,0
109,8,CASH_IN,324064.34,C1630917566,21329,345393.34,C1007483565,21613,101388.35,UK mainland,UK mainland,0
110,8,CASH_OUT,103787.96,C33491103,175,0,C1007483565,0,101388.35,UK mainland,UK mainland,0
111,8,CASH_OUT,103259.43,C884083729,0,0,C1007483565,103787.96,101388.35,UK mainland,UK mainland,0
112,8,CASH_IN,142164.5,C1520099501,21542,163706.5,C1007717381,0,1464101.1,UK mainland,UK mainland,0
113,8,TRANSFER,1019831.31,C171706913,5029,0,C1007717381,0,1464101.1,UK mainland,UK mainland,0
114,8,CASH_OUT,256959.83,C193969325,107709.31,0,C1007717381,1464101.1,1721060.93,UK mainland,UK mainland,0
115,8,CASH_OUT,116674.78,C1952287796,0,0,C1007717381,1019831.31,1464101.1,UK mainland,UK mainland,0
116,8,CASH_OUT,327595.01,C294028900,0,0,C1007717381,1136506.09,1464101.1,UK mainland,UK mainland,0
117,8,DEBIT,2753.46,C1733693361,323364,320610.54,C1009195400,93508.65,96262.11,UK mainland,USA,0
118,8,CASH_OUT,88581.39,C2140711592,0,0,C1009195400,224214.26,96262.11,UK mainland,USA,0
119,8,DEBIT,7428.04,C698994292,0,0,C1009195400,86080.6,96262.11,UK mainland,USA,0
120,8,CASH_IN,226715.05,C844062730,4767279.8,4993994.85,C1009195400,312795.66,96262.11,UK mainland,USA,0
121,8,CASH_OUT,58748.69,C1545438645,0,0,C1009972184,226869.64,361559.69,UK mainland,USA,0
122,8,CASH_IN,68381.24,C1581295036,3184377.92,3252759.16,C1009972184,285618.34,361559.69,UK mainland,USA,0
123,8,TRANSFER,144322.59,C1633416353,0,0,C1009972184,217237.1,361559.69,UK mainland,USA,0
124,8,TRANSFER,25113.73,C811902637,20136,0,C1009972184,19237,361559.69,UK mainland,USA,0
125,8,CASH_OUT,29707.86,C515973302,29707.86,0,C170071280,10935,0,UK mainland,BVI,1
126,8,TRANSFER,89631.24,C74534388,89631.24,0,C1748042844,0,0,UK mainland,BVI,1
127,8,CASH_OUT,89631.24,C1938531779,89631.24,0,C2048578791,21175,0,UK mainland,Panama,1
128,8,TRANSFER,222,C1961506277,222,0,C378841819,0,267095.19,UK mainland,Panama,1
129,8,TRANSFER,43092,C1683174795,43092,0,C427998326,0,0,UK mainland,Panama,1
130,8,TRANSFER,29707.86,C1825456600,29707.86,0,C570409417,0,0,UK mainland,Anguilla,1
131,8,CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647.35,UK mainland,T&T,1
132,8,CASH_OUT,181728.11,C2102265902,0,0,C789014007,11397,184477.77,UK mainland,T&T,1
133,8,CASH_OUT,1996.17,C858959216,1996.17,0,C864078397,2559.74,4555.92,UK mainland,T&T,1
134,9,CASH_OUT,47817.37,C1538558982,20778,0,C1000219612,996,0,UK mainland,EU,0
135,9,CASH_OUT,84768.05,C1675269122,61593,0,C1000469870,0,32191.18,UK mainland,EU,0
136,9,CASH_IN,52576.87,C312175474,6314379.08,6366955.95,C1000469870,84768.05,32191.18,UK mainland,EU,0
137,9,CASH_OUT,186778.19,C2056361283,106927,0,C1000910565,0,3001.17,UK mainland,EU,0
138,9,CASH_OUT,193616.26,C1414271969,11151,0,C1001094043,1282989.13,2060985.26,UK mainland,EU,0
139,9,CASH_OUT,181847.2,C1884534067,0,0,C1001094043,1101141.93,2060985.26,UK mainland,EU,0
140,9,CASH_IN,288093.56,C328014675,26381,314474.56,C1001107566,8526,0,UK mainland,EU,0
141,9,CASH_OUT,123527.36,C1599850159,95316.32,0,C1001367899,129782.95,598035.38,UK mainland,EU,0
142,9,CASH_OUT,372029.77,C1630357151,742,0,C1001367899,253310.31,598035.38,UK mainland,EU,0
143,9,CASH_IN,1459.3,C1667979624,2924538.07,2925997.37,C1001367899,598035.38,686915.67,UK mainland,EU,0
144,9,CASH_IN,27304.69,C2011969934,2340101.69,2367406.38,C1001367899,625340.08,598035.38,UK mainland,EU,0
145,9,CASH_IN,185171.54,C1535364699,111423,296594.54,C100145780,3408,0,UK mainland,EU,0
146,9,CASH_OUT,10837.67,C41215178,71946,61108.33,C1001582807,1864,0,UK mainland,EU,0
147,9,CASH_IN,111232.4,C611300201,31396,142628.4,C1001582807,0,0,UK mainland,EU,0
148,9,TRANSFER,1738729.23,C1833615102,238,0,C1001611622,10424,2970256.26,UK mainland,EU,0
149,9,CASH_OUT,225187.58,C228002784,0,0,C1001611622,2085138.92,2970256.26,UK mainland,EU,0
150,9,CASH_OUT,104425.67,C235348825,0,0,C1001755781,274407.46,378833.14,UK mainland,EU,0
151,9,CASH_OUT,146382.63,C1786919701,744723.63,598341,C100196193,185385.06,959448.95,UK mainland,EU,0
152,9,CASH_IN,204291.43,C1820239580,29132325.51,29336616.94,C100196193,389676.49,959448.95,UK mainland,EU,0
153,9,CASH_OUT,330068.49,C616006872,25803,0,C100196193,59608,959448.95,UK mainland,EU,0
154,9,CASH_OUT,21249.35,C1609223096,0,0,C1002088829,82721,372272.64,UK mainland,EU,0
155,9,CASH_OUT,97051.83,C202234570,0,0,C1002088829,295195.06,372272.64,UK mainland,EU,0
156,9,CASH_OUT,214569.91,C297350507,0,0,C1002088829,392246.89,372272.64,UK mainland,EU,0
157,9,CASH_OUT,191224.7,C343070689,22307,0,C1002088829,103970.35,372272.64,UK mainland,EU,0
158,9,CASH_OUT,262056.6,C1525737235,621606,359549.4,C1002335651,1108689.35,1379283.3,UK mainland,EU,0
159,9,TRANSFER,1108689.35,C2107515910,413035.62,0,C1002335651,0,1379283.3,UK mainland,EU,0
160,9,CASH_IN,168662.87,C2122688257,4702,173364.87,C1002335651,59586,1379283.3,UK mainland,EU,0
161,9,CASH_IN,208697.14,C570137830,304953,513650.14,C1002335651,0,1379283.3,UK mainland,EU,0
162,9,CASH_OUT,116833.33,C431774591,1712360.51,1595527.18,C1002407179,260037.68,302363.37,UK mainland,EU,0
163,9,CASH_IN,257834.27,C621970152,15055,272889.27,C1002469873,0,0,UK mainland,EU,0
164,9,CASH_OUT,437286.83,C1894601725,34483,0,C1002768214,103045,455124.78,UK mainland,EU,0
165,9,CASH_IN,209344.97,C1688903310,11493,220837.97,C100325477,120335.76,0,UK mainland,UK mainland,0
166,9,TRANSFER,20345.47,C608581848,0,0,C100325477,49805,0,UK mainland,UK mainland,0
167,9,CASH_OUT,26552.17,C993911943,19942,0,C10036459,858,27410.17,UK mainland,BVI,0
168,9,CASH_OUT,127539.44,C412537740,728.85,0,C1003872245,216231.87,369421.45,UK mainland,UK mainland,0
169,9,CASH_OUT,421659.96,C1904167864,76,0,C1004044328,1455372.52,2002708.63,UK mainland,UK mainland,0
170,9,CASH_OUT,232242.69,C868041798,10158,0,C1004058392,0,232242.69,UK mainland,UK mainland,0
171,9,CASH_OUT,393184.21,C1403924920,19214,0,C1004116292,6712.04,473717.97,UK mainland,UK mainland,0
172,9,CASH_OUT,310999.16,C1738364630,0,0,C1004116292,518316.76,238106.93,UK mainland,UK mainland,0
173,9,CASH_OUT,44598.79,C2049439735,0,0,C1004116292,473717.97,238106.93,UK mainland,UK mainland,0
174,9,CASH_IN,153778.74,C158607674,51569.36,205348.1,C1004780164,1544606.56,2666573.93,UK mainland,UK mainland,0
175,9,CASH_OUT,115021.46,C1615045695,0,0,C1004780164,1679662.6,1544606.56,UK mainland,UK mainland,0
176,9,CASH_IN,250077.49,C770985548,4839938.12,5090015.61,C1004780164,1794684.05,1544606.56,UK mainland,UK mainland,0
177,9,TRANSFER,163595.36,C1492515624,12279,0,C1004962268,161055,571141.02,UK mainland,UK mainland,0
178,9,CASH_OUT,12754.38,C1662546194,0,0,C1004962268,532090.22,544844.6,UK mainland,UK mainland,0
179,9,CASH_OUT,246490.67,C486862671,0,0,C1004962268,324650.36,571141.02,UK mainland,UK mainland,0
180,9,CASH_IN,316445.28,C1877709455,41412,357857.28,C100555887,691944.06,0,UK mainland,UK mainland,0
181,9,CASH_OUT,185820.04,C584296452,29125,0,C100555887,249692.11,435512.15,UK mainland,UK mainland,0
182,9,CASH_IN,144364.11,C1534206947,331,144695.11,C100568242,270125.43,0,UK mainland,UK mainland,0
183,9,CASH_OUT,17125.52,C1827032412,123512.04,106386.51,C100568242,252999.9,0,UK mainland,UK mainland,0
184,9,CASH_OUT,99873.31,C450380858,451217.13,351343.82,C100568242,125761.31,0,UK mainland,UK mainland,0
185,9,TRANSFER,134807.29,C580507729,60866,0,C100568242,118192.61,0,UK mainland,UK mainland,0
186,9,CASH_IN,217291.22,C1631990525,3970524.85,4187816.07,C1005736508,312416.6,0,UK mainland,UK mainland,0
187,9,CASH_OUT,237007.07,C1402436170,36461.58,0,C1005747091,1356520.84,1593527.91,UK mainland,UK mainland,0
188,9,DEBIT,5816.08,C1844325897,234604.4,228788.32,C1005747091,529872.39,1593527.91,UK mainland,UK mainland,0
189,9,CASH_OUT,488135.79,C1921295995,0,0,C1005747091,535688.47,1593527.91,UK mainland,UK mainland,0
190,9,CASH_OUT,27512.38,C2134746256,0,0,C1005747091,135185.1,529872.39,UK mainland,UK mainland,0
191,9,CASH_OUT,332696.58,C325092698,0,0,C1005747091,1023824.26,1593527.91,UK mainland,UK mainland,0
192,9,CASH_IN,25972.81,C458520486,6468011.83,6493984.64,C100586129,36775,0,UK mainland,UK mainland,0
193,9,CASH_OUT,31388,C1986122208,12692,0,C1005928818,0,715838.62,UK mainland,UK mainland,0
194,9,TRANSFER,737038.23,C220886571,0,0,C1005928818,31388,715838.62,UK mainland,UK mainland,0
195,9,TRANSFER,10140.38,C142226748,0,0,C1005941472,230586.45,240726.83,UK mainland,UK mainland,0
196,9,CASH_IN,502188.96,C207882456,2899702.62,3401891.58,C1005941472,732775.42,230586.45,UK mainland,UK mainland,0
197,9,CASH_OUT,117259.83,C2041578194,0,0,C1006214893,416148,678129.84,UK mainland,UK mainland,0
198,9,TRANSFER,144722.01,C413104345,0,0,C1006214893,533407.83,678129.84,UK mainland,UK mainland,0
199,9,CASH_OUT,337652.73,C631423957,10062,0,C1006955817,20401,412542.38,UK mainland,UK mainland,0
200,9,CASH_IN,249200.23,C277547155,14374455.02,14623655.26,C1007135217,427388.02,0,UK mainland,UK mainland,0
201,9,CASH_OUT,56579.84,C862826480,0,0,C1007135217,178187.78,0,UK mainland,UK mainland,0
202,9,TRANSFER,566024.15,C959946830,198245,0,C1007135217,0,0,UK mainland,UK mainland,0
203,9,CASH_OUT,642034.09,C1694801273,2147643.21,1505609.13,C1007717381,1721060.93,4034279.06,UK mainland,UK mainland,0
204,9,DEBIT,4740.49,C1880656660,0,0,C1007717381,2363095.02,4034279.06,UK mainland,UK mainland,0
205,9,CASH_OUT,458043.29,C249096946,0,0,C1007717381,2367835.5,4034279.06,UK mainland,UK mainland,0
206,9,CASH_IN,222243.83,C771320109,2773243.47,2995487.3,C1007717381,2825878.8,4034279.06,UK mainland,UK mainland,0
207,9,TRANSFER,2018511.54,C1733029925,5660,0,C100836936,20401,2947763.28,UK mainland,UK mainland,0
208,9,TRANSFER,1230577.48,C383635288,0,0,C100836936,2038912.54,2947763.28,UK mainland,UK mainland,0
209,9,CASH_OUT,42973.9,C931752695,11471,0,C1008476766,31540.24,0,UK mainland,UK mainland,0
210,9,CASH_IN,203790.37,C2019020749,16507,220297.37,C1009195400,96262.11,490348.89,UK mainland,USA,0
211,9,CASH_IN,264250.77,C508769164,400080,664330.77,C1009195400,0,490348.89,UK mainland,USA,0
212,9,TRANSFER,152040.49,C256210671,20861,0,C1009226940,0,468358.61,UK mainland,USA,0
213,9,CASH_OUT,273181.45,C147117776,18140,0,C1009574362,32227.11,8607.56,UK mainland,USA,0
214,9,CASH_OUT,49073.53,C277958062,105172,56098.47,C1009574362,0,49073.53,UK mainland,USA,0
215,9,DEBIT,4783.8,C518288706,412968.84,408185.04,C1009574362,305408.56,8607.56,UK mainland,USA,0
216,9,CASH_IN,178032.8,C82637945,22212,200244.8,C1009574362,13750,49073.53,UK mainland,USA,0
217,9,CASH_IN,238888.63,C145448494,5405067,5643955.64,C1009893576,417841.17,178952.54,UK mainland,USA,0
218,9,CASH_OUT,309585.83,C463101749,0,0,C1009893576,0,309585.83,UK mainland,USA,0
219,9,CASH_OUT,108255.34,C492930195,0,0,C1009893576,309585.83,178952.54,UK mainland,USA,0
220,9,CASH_OUT,2539898.07,C728718059,2539898.07,0,C1013511446,968,1842864.22,UK mainland,BVI,1
221,9,TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,UK mainland,BVI,1
222,9,TRANSFER,1154353.99,C670587931,1154353.99,0,C150406565,0,10872.9,UK mainland,BVI,1
223,9,CASH_OUT,21922,C1499032143,21922,0,C1508330669,1929861.61,2046918.8,UK mainland,BVI,1
224,9,CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,UK mainland,BVI,1
225,9,CASH_OUT,361559.69,C684758020,361559.69,0,C1769042905,504667.31,189441.24,UK mainland,BVI,1
226,9,CASH_OUT,556218.01,C589143360,556218.01,0,C1992550266,0,582265.81,UK mainland,Panama,1
227,9,TRANSFER,556218.01,C1769581889,556218.01,0,C217441120,0,0,UK mainland,Panama,1
228,9,TRANSFER,1055,C666486325,1055,0,C279565067,0,0,UK mainland,Panama,1
229,9,TRANSFER,350705.74,C1452168793,350705.74,0,C399194578,0,1184633.07,UK mainland,Panama,1
230,9,CASH_OUT,11308,C921533797,11308,0,C424669538,0,302550.56,UK mainland,Panama,1
231,9,TRANSFER,2539898.07,C394488466,2539898.07,0,C575638324,0,261290.69,UK mainland,T&T,1
232,9,CASH_OUT,350705.74,C58527359,350705.74,0,C582901057,894760.68,1794033.65,UK mainland,T&T,1
233,9,CASH_OUT,244068.01,C507466068,244068.01,0,C706331499,0,338538.16,UK mainland,T&T,1
234,10,CASH_OUT,37038.41,C1956564950,152,0,C1000156006,0,458642.37,UK mainland,EU,0
235,10,CASH_OUT,328685.42,C60575666,19901,0,C1000156006,37038.41,458642.37,UK mainland,EU,0
236,10,CASH_IN,3641.47,C1809027857,1071937.55,1075579.01,C1000157415,21781,487392.29,UK mainland,EU,0
237,10,CASH_IN,284440.88,C720827803,130924.23,415365.1,C1000630508,1413474.24,1129033.36,UK mainland,EU,0
238,10,TRANSFER,1728523.87,C432725780,9462,0,C1000649398,0,1728523.87,UK mainland,EU,0
239,10,CASH_IN,137280.69,C713244674,30005,167285.69,C1000649398,0,0,UK mainland,EU,0
240,10,CASH_IN,71159.9,C1421370559,166898,238057.9,C1000910565,337914.91,3001.17,UK mainland,EU,0
241,10,TRANSFER,1894649.89,C466885620,565390.11,0,C1000910565,3001.17,1897651.06,UK mainland,EU,0
242,10,TRANSFER,288296.77,C58387320,43044,0,C1000910565,49618.15,3001.17,UK mainland,EU,0
243,10,CASH_IN,137160.04,C915900396,413844.41,551004.45,C1000910565,186778.19,3001.17,UK mainland,EU,0
244,10,CASH_OUT,253131.71,C956593236,0,0,C1000910565,266755.01,3001.17,UK mainland,EU,0
245,10,CASH_OUT,331806.65,C1829787522,0,0,C1001094043,2053890.08,2824981.22,UK mainland,EU,0
246,10,CASH_IN,7095.18,C643719717,5873287.49,5880382.67,C1001094043,2060985.26,2824981.22,UK mainland,EU,0
247,10,CASH_OUT,584379.87,C963302552,199995.11,0,C1001094043,1476605.38,2060985.26,UK mainland,EU,0
248,10,CASH_IN,19584.07,C1687616878,3238471.2,3258055.27,C1001170585,145570.41,0,UK mainland,EU,0
249,10,CASH_IN,117475.59,C1980450263,10532671.73,10650147.32,C1001170585,263046,0,UK mainland,EU,0
250,10,TRANSFER,498127.02,C1775183650,0,0,C1001367899,686915.67,1185042.68,UK mainland,EU,0
251,10,CASH_OUT,141509.18,C77004704,0,0,C1001367899,596576.08,686915.67,UK mainland,EU,0
252,10,CASH_IN,35058.05,C23777380,3024,38082.05,C100145780,1697340.87,1877438.3,UK mainland,EU,0
